PING 75.75.76.76 (75.75.76.76) 56(84) bytes of data.
64 bytes from 75.75.76.76: icmp_seq=82 ttl=53 time=53.2 ms
64 bytes from 75.75.76.76: icmp_seq=83 ttl=53 time=50.1 ms
64 bytes from 75.75.76.76: icmp_seq=84 ttl=53 time=50.0 ms
64 bytes from 75.75.76.76: icmp_seq=85 ttl=53 time=213 ms
64 bytes from 75.75.76.76: icmp_seq=86 ttl=53 time=97.6 ms
64 bytes from 75.75.76.76: icmp_seq=87 ttl=53 time=71.6 ms
64 bytes from 75.75.76.76: icmp_seq=88 ttl=53 time=63.3 ms
64 bytes from 75.75.76.76: icmp_seq=89 ttl=53 time=51.4 ms
64 bytes from 75.75.76.76: icmp_seq=90 ttl=53 time=69.0 ms
64 bytes from 75.75.76.76: icmp_seq=91 ttl=53 time=47.9 ms
64 bytes from 75.75.76.76: icmp_seq=92 ttl=53 time=48.4 ms
64 bytes from 75.75.76.76: icmp_seq=93 ttl=53 time=50.4 ms
64 bytes from 75.75.76.76: icmp_seq=94 ttl=53 time=65.2 ms
64 bytes from 75.75.76.76: icmp_seq=95 ttl=53 time=61.4 ms
64 bytes from 75.75.76.76: icmp_seq=96 ttl=53 time=60.3 ms
64 bytes from 75.75.76.76: icmp_seq=97 ttl=53 time=56.9 ms
64 bytes from 75.75.76.76: icmp_seq=98 ttl=53 time=53.1 ms
64 bytes from 75.75.76.76: icmp_seq=99 ttl=53 time=48.4 ms
64 bytes from 75.75.76.76: icmp_seq=100 ttl=53 time=55.5 ms
64 bytes from 75.75.76.76: icmp_seq=101 ttl=53 time=52.3 ms
64 bytes from 75.75.76.76: icmp_seq=102 ttl=53 time=49.2 ms
64 bytes from 75.75.76.76: icmp_seq=103 ttl=53 time=67.1 ms
64 bytes from 75.75.76.76: icmp_seq=104 ttl=53 time=45.5 ms
64 bytes from 75.75.76.76: icmp_seq=105 ttl=53 time=77.4 ms
64 bytes from 75.75.76.76: icmp_seq=106 ttl=53 time=63.8 ms
64 bytes from 75.75.76.76: icmp_seq=107 ttl=53 time=49.4 ms
64 bytes from 75.75.76.76: icmp_seq=108 ttl=53 time=70.0 ms
64 bytes from 75.75.76.76: icmp_seq=109 ttl=53 time=52.9 ms
64 bytes from 75.75.76.76: icmp_seq=110 ttl=53 time=71.3 ms
64 bytes from 75.75.76.76: icmp_seq=111 ttl=53 time=53.1 ms
64 bytes from 75.75.76.76: icmp_seq=112 ttl=53 time=52.2 ms
64 bytes from 75.75.76.76: icmp_seq=113 ttl=53 time=66.5 ms
64 bytes from 75.75.76.76: icmp_seq=114 ttl=53 time=60.0 ms
64 bytes from 75.75.76.76: icmp_seq=115 ttl=53 time=48.2 ms
64 bytes from 75.75.76.76: icmp_seq=116 ttl=53 time=58.3 ms
64 bytes from 75.75.76.76: icmp_seq=117 ttl=53 time=55.3 ms
64 bytes from 75.75.76.76: icmp_seq=118 ttl=53 time=53.7 ms
64 bytes from 75.75.76.76: icmp_seq=119 ttl=53 time=50.5 ms
64 bytes from 75.75.76.76: icmp_seq=120 ttl=53 time=80.3 ms
64 bytes from 75.75.76.76: icmp_seq=121 ttl=53 time=53.2 ms
64 bytes from 75.75.76.76: icmp_seq=122 ttl=53 time=46.4 ms
64 bytes from 75.75.76.76: icmp_seq=123 ttl=53 time=73.8 ms
64 bytes from 75.75.76.76: icmp_seq=124 ttl=53 time=74.8 ms
64 bytes from 75.75.76.76: icmp_seq=125 ttl=53 time=49.1 ms
64 bytes from 75.75.76.76: icmp_seq=126 ttl=53 time=67.1 ms
64 bytes from 75.75.76.76: icmp_seq=127 ttl=53 time=59.1 ms
64 bytes from 75.75.76.76: icmp_seq=128 ttl=53 time=66.5 ms
64 bytes from 75.75.76.76: icmp_seq=129 ttl=53 time=62.3 ms
64 bytes from 75.75.76.76: icmp_seq=130 ttl=53 time=63.7 ms
64 bytes from 75.75.76.76: icmp_seq=131 ttl=53 time=64.3 ms
64 bytes from 75.75.76.76: icmp_seq=132 ttl=53 time=56.5 ms
64 bytes from 75.75.76.76: icmp_seq=133 ttl=53 time=57.0 ms
64 bytes from 75.75.76.76: icmp_seq=134 ttl=53 time=55.9 ms
64 bytes from 75.75.76.76: icmp_seq=135 ttl=53 time=53.2 ms
