PING 149.112.112.112 (149.112.112.112) 56(84) bytes of data.
64 bytes from 149.112.112.112: icmp_seq=82 ttl=56 time=20.1 ms
64 bytes from 149.112.112.112: icmp_seq=83 ttl=56 time=21.2 ms
64 bytes from 149.112.112.112: icmp_seq=84 ttl=56 time=19.6 ms
64 bytes from 149.112.112.112: icmp_seq=85 ttl=56 time=21.4 ms
64 bytes from 149.112.112.112: icmp_seq=86 ttl=56 time=19.0 ms
64 bytes from 149.112.112.112: icmp_seq=87 ttl=56 time=18.1 ms
64 bytes from 149.112.112.112: icmp_seq=88 ttl=56 time=41.3 ms
64 bytes from 149.112.112.112: icmp_seq=89 ttl=56 time=27.7 ms
64 bytes from 149.112.112.112: icmp_seq=90 ttl=56 time=44.1 ms
64 bytes from 149.112.112.112: icmp_seq=91 ttl=56 time=35.9 ms
64 bytes from 149.112.112.112: icmp_seq=92 ttl=56 time=19.2 ms
64 bytes from 149.112.112.112: icmp_seq=93 ttl=56 time=32.4 ms
64 bytes from 149.112.112.112: icmp_seq=94 ttl=56 time=18.3 ms
64 bytes from 149.112.112.112: icmp_seq=95 ttl=56 time=27.8 ms
64 bytes from 149.112.112.112: icmp_seq=96 ttl=56 time=32.8 ms
64 bytes from 149.112.112.112: icmp_seq=97 ttl=56 time=29.4 ms
64 bytes from 149.112.112.112: icmp_seq=98 ttl=56 time=27.8 ms
64 bytes from 149.112.112.112: icmp_seq=99 ttl=56 time=27.3 ms
64 bytes from 149.112.112.112: icmp_seq=100 ttl=56 time=23.0 ms
64 bytes from 149.112.112.112: icmp_seq=101 ttl=56 time=17.8 ms
64 bytes from 149.112.112.112: icmp_seq=102 ttl=56 time=16.9 ms
64 bytes from 149.112.112.112: icmp_seq=103 ttl=56 time=19.3 ms
64 bytes from 149.112.112.112: icmp_seq=104 ttl=56 time=48.2 ms
64 bytes from 149.112.112.112: icmp_seq=105 ttl=56 time=17.0 ms
64 bytes from 149.112.112.112: icmp_seq=106 ttl=56 time=33.3 ms
64 bytes from 149.112.112.112: icmp_seq=107 ttl=56 time=57.7 ms
64 bytes from 149.112.112.112: icmp_seq=108 ttl=56 time=23.4 ms
64 bytes from 149.112.112.112: icmp_seq=109 ttl=56 time=25.0 ms
64 bytes from 149.112.112.112: icmp_seq=110 ttl=56 time=38.8 ms
64 bytes from 149.112.112.112: icmp_seq=111 ttl=56 time=36.5 ms
64 bytes from 149.112.112.112: icmp_seq=112 ttl=56 time=23.4 ms
64 bytes from 149.112.112.112: icmp_seq=113 ttl=56 time=23.1 ms
64 bytes from 149.112.112.112: icmp_seq=114 ttl=56 time=28.5 ms
64 bytes from 149.112.112.112: icmp_seq=115 ttl=56 time=16.4 ms
64 bytes from 149.112.112.112: icmp_seq=116 ttl=56 time=23.3 ms
64 bytes from 149.112.112.112: icmp_seq=117 ttl=56 time=22.8 ms
64 bytes from 149.112.112.112: icmp_seq=118 ttl=56 time=19.5 ms
64 bytes from 149.112.112.112: icmp_seq=119 ttl=56 time=19.1 ms
64 bytes from 149.112.112.112: icmp_seq=120 ttl=56 time=16.5 ms
64 bytes from 149.112.112.112: icmp_seq=121 ttl=56 time=49.7 ms
64 bytes from 149.112.112.112: icmp_seq=122 ttl=56 time=22.8 ms
64 bytes from 149.112.112.112: icmp_seq=123 ttl=56 time=40.3 ms
64 bytes from 149.112.112.112: icmp_seq=124 ttl=56 time=39.0 ms
64 bytes from 149.112.112.112: icmp_seq=125 ttl=56 time=15.5 ms
64 bytes from 149.112.112.112: icmp_seq=126 ttl=56 time=35.4 ms
64 bytes from 149.112.112.112: icmp_seq=127 ttl=56 time=34.5 ms
64 bytes from 149.112.112.112: icmp_seq=128 ttl=56 time=29.0 ms
64 bytes from 149.112.112.112: icmp_seq=129 ttl=56 time=29.1 ms
64 bytes from 149.112.112.112: icmp_seq=130 ttl=56 time=30.7 ms
64 bytes from 149.112.112.112: icmp_seq=131 ttl=56 time=24.8 ms
64 bytes from 149.112.112.112: icmp_seq=132 ttl=56 time=22.7 ms
64 bytes from 149.112.112.112: icmp_seq=133 ttl=56 time=50.2 ms
64 bytes from 149.112.112.112: icmp_seq=134 ttl=56 time=18.0 ms
64 bytes from 149.112.112.112: icmp_seq=135 ttl=56 time=16.9 ms
64 bytes from 149.112.112.112: icmp_seq=136 ttl=56 time=34.6 ms
64 bytes from 149.112.112.112: icmp_seq=137 ttl=56 time=25.7 ms
64 bytes from 149.112.112.112: icmp_seq=138 ttl=56 time=20.4 ms
64 bytes from 149.112.112.112: icmp_seq=139 ttl=56 time=29.3 ms
64 bytes from 149.112.112.112: icmp_seq=140 ttl=56 time=37.9 ms
