PING 75.75.75.75 (75.75.75.75) 56(84) bytes of data.
64 bytes from 75.75.75.75: icmp_seq=1 ttl=57 time=21.7 ms
64 bytes from 75.75.75.75: icmp_seq=2 ttl=57 time=59.9 ms
64 bytes from 75.75.75.75: icmp_seq=3 ttl=57 time=14.5 ms
64 bytes from 75.75.75.75: icmp_seq=4 ttl=57 time=28.6 ms
64 bytes from 75.75.75.75: icmp_seq=5 ttl=57 time=17.2 ms
64 bytes from 75.75.75.75: icmp_seq=6 ttl=57 time=34.4 ms
64 bytes from 75.75.75.75: icmp_seq=7 ttl=57 time=59.8 ms
64 bytes from 75.75.75.75: icmp_seq=8 ttl=57 time=47.0 ms
64 bytes from 75.75.75.75: icmp_seq=9 ttl=57 time=20.5 ms
64 bytes from 75.75.75.75: icmp_seq=10 ttl=57 time=16.8 ms
64 bytes from 75.75.75.75: icmp_seq=11 ttl=57 time=27.3 ms
64 bytes from 75.75.75.75: icmp_seq=12 ttl=57 time=52.1 ms
64 bytes from 75.75.75.75: icmp_seq=13 ttl=57 time=21.0 ms
64 bytes from 75.75.75.75: icmp_seq=14 ttl=57 time=58.9 ms
64 bytes from 75.75.75.75: icmp_seq=15 ttl=57 time=54.5 ms
64 bytes from 75.75.75.75: icmp_seq=16 ttl=57 time=19.4 ms
64 bytes from 75.75.75.75: icmp_seq=17 ttl=57 time=29.0 ms
64 bytes from 75.75.75.75: icmp_seq=18 ttl=57 time=56.4 ms
64 bytes from 75.75.75.75: icmp_seq=19 ttl=57 time=266 ms
64 bytes from 75.75.75.75: icmp_seq=20 ttl=57 time=98.0 ms
64 bytes from 75.75.75.75: icmp_seq=21 ttl=57 time=17.3 ms
64 bytes from 75.75.75.75: icmp_seq=22 ttl=57 time=27.7 ms
64 bytes from 75.75.75.75: icmp_seq=23 ttl=57 time=357 ms
64 bytes from 75.75.75.75: icmp_seq=24 ttl=57 time=110 ms
64 bytes from 75.75.75.75: icmp_seq=25 ttl=57 time=19.0 ms
64 bytes from 75.75.75.75: icmp_seq=26 ttl=57 time=119 ms
64 bytes from 75.75.75.75: icmp_seq=27 ttl=57 time=27.6 ms
64 bytes from 75.75.75.75: icmp_seq=28 ttl=57 time=25.1 ms
64 bytes from 75.75.75.75: icmp_seq=29 ttl=57 time=29.6 ms
64 bytes from 75.75.75.75: icmp_seq=30 ttl=57 time=90.7 ms
64 bytes from 75.75.75.75: icmp_seq=31 ttl=57 time=67.9 ms
64 bytes from 75.75.75.75: icmp_seq=32 ttl=57 time=151 ms
64 bytes from 75.75.75.75: icmp_seq=33 ttl=57 time=86.5 ms
64 bytes from 75.75.75.75: icmp_seq=34 ttl=57 time=17.5 ms
64 bytes from 75.75.75.75: icmp_seq=35 ttl=57 time=219 ms
64 bytes from 75.75.75.75: icmp_seq=36 ttl=57 time=79.8 ms
64 bytes from 75.75.75.75: icmp_seq=37 ttl=57 time=163 ms
64 bytes from 75.75.75.75: icmp_seq=38 ttl=57 time=187 ms
64 bytes from 75.75.75.75: icmp_seq=39 ttl=57 time=65.9 ms
64 bytes from 75.75.75.75: icmp_seq=40 ttl=57 time=70.7 ms
64 bytes from 75.75.75.75: icmp_seq=41 ttl=57 time=55.2 ms
64 bytes from 75.75.75.75: icmp_seq=42 ttl=57 time=73.3 ms
64 bytes from 75.75.75.75: icmp_seq=43 ttl=57 time=41.1 ms
64 bytes from 75.75.75.75: icmp_seq=44 ttl=57 time=49.9 ms
64 bytes from 75.75.75.75: icmp_seq=45 ttl=57 time=67.0 ms
64 bytes from 75.75.75.75: icmp_seq=46 ttl=57 time=20.5 ms
64 bytes from 75.75.75.75: icmp_seq=47 ttl=57 time=186 ms
64 bytes from 75.75.75.75: icmp_seq=48 ttl=57 time=25.1 ms
64 bytes from 75.75.75.75: icmp_seq=49 ttl=57 time=29.7 ms
64 bytes from 75.75.75.75: icmp_seq=50 ttl=57 time=49.7 ms
64 bytes from 75.75.75.75: icmp_seq=51 ttl=57 time=45.2 ms
64 bytes from 75.75.75.75: icmp_seq=52 ttl=57 time=126 ms
64 bytes from 75.75.75.75: icmp_seq=53 ttl=57 time=40.8 ms
64 bytes from 75.75.75.75: icmp_seq=54 ttl=57 time=54.0 ms
64 bytes from 75.75.75.75: icmp_seq=55 ttl=57 time=90.9 ms
64 bytes from 75.75.75.75: icmp_seq=56 ttl=57 time=99.2 ms
64 bytes from 75.75.75.75: icmp_seq=57 ttl=57 time=30.1 ms
64 bytes from 75.75.75.75: icmp_seq=58 ttl=57 time=53.9 ms
64 bytes from 75.75.75.75: icmp_seq=59 ttl=57 time=29.1 ms
64 bytes from 75.75.75.75: icmp_seq=60 ttl=57 time=26.8 ms
64 bytes from 75.75.75.75: icmp_seq=61 ttl=57 time=48.3 ms
64 bytes from 75.75.75.75: icmp_seq=62 ttl=57 time=26.7 ms
64 bytes from 75.75.75.75: icmp_seq=63 ttl=57 time=22.5 ms
64 bytes from 75.75.75.75: icmp_seq=64 ttl=57 time=22.2 ms
64 bytes from 75.75.75.75: icmp_seq=65 ttl=57 time=24.2 ms
64 bytes from 75.75.75.75: icmp_seq=66 ttl=57 time=19.8 ms
64 bytes from 75.75.75.75: icmp_seq=67 ttl=57 time=16.5 ms
64 bytes from 75.75.75.75: icmp_seq=68 ttl=57 time=17.1 ms
64 bytes from 75.75.75.75: icmp_seq=69 ttl=57 time=38.6 ms
