PING 1.0.0.1 (1.0.0.1) 56(84) bytes of data.
64 bytes from 1.0.0.1: icmp_seq=1 ttl=56 time=121 ms
64 bytes from 1.0.0.1: icmp_seq=2 ttl=56 time=134 ms
64 bytes from 1.0.0.1: icmp_seq=3 ttl=56 time=26.4 ms
64 bytes from 1.0.0.1: icmp_seq=4 ttl=56 time=18.8 ms
64 bytes from 1.0.0.1: icmp_seq=5 ttl=56 time=70.0 ms
64 bytes from 1.0.0.1: icmp_seq=7 ttl=56 time=444 ms
64 bytes from 1.0.0.1: icmp_seq=8 ttl=56 time=470 ms
64 bytes from 1.0.0.1: icmp_seq=9 ttl=56 time=288 ms
64 bytes from 1.0.0.1: icmp_seq=10 ttl=56 time=128 ms
64 bytes from 1.0.0.1: icmp_seq=11 ttl=56 time=97.7 ms
64 bytes from 1.0.0.1: icmp_seq=12 ttl=56 time=30.7 ms
64 bytes from 1.0.0.1: icmp_seq=13 ttl=56 time=51.1 ms
64 bytes from 1.0.0.1: icmp_seq=14 ttl=56 time=59.1 ms
64 bytes from 1.0.0.1: icmp_seq=15 ttl=56 time=48.8 ms
64 bytes from 1.0.0.1: icmp_seq=16 ttl=56 time=101 ms
64 bytes from 1.0.0.1: icmp_seq=17 ttl=56 time=164 ms
64 bytes from 1.0.0.1: icmp_seq=18 ttl=56 time=494 ms
64 bytes from 1.0.0.1: icmp_seq=19 ttl=56 time=103 ms
64 bytes from 1.0.0.1: icmp_seq=20 ttl=56 time=82.6 ms
64 bytes from 1.0.0.1: icmp_seq=21 ttl=56 time=359 ms
64 bytes from 1.0.0.1: icmp_seq=22 ttl=56 time=100 ms
64 bytes from 1.0.0.1: icmp_seq=23 ttl=56 time=31.5 ms
64 bytes from 1.0.0.1: icmp_seq=24 ttl=56 time=90.3 ms
64 bytes from 1.0.0.1: icmp_seq=25 ttl=56 time=33.1 ms
64 bytes from 1.0.0.1: icmp_seq=26 ttl=56 time=167 ms
64 bytes from 1.0.0.1: icmp_seq=27 ttl=56 time=51.7 ms
64 bytes from 1.0.0.1: icmp_seq=28 ttl=56 time=23.5 ms
64 bytes from 1.0.0.1: icmp_seq=29 ttl=56 time=77.9 ms
64 bytes from 1.0.0.1: icmp_seq=30 ttl=56 time=57.6 ms
64 bytes from 1.0.0.1: icmp_seq=31 ttl=56 time=84.8 ms
64 bytes from 1.0.0.1: icmp_seq=32 ttl=56 time=30.5 ms
64 bytes from 1.0.0.1: icmp_seq=33 ttl=56 time=67.5 ms
64 bytes from 1.0.0.1: icmp_seq=34 ttl=56 time=40.1 ms
64 bytes from 1.0.0.1: icmp_seq=35 ttl=56 time=16.8 ms
64 bytes from 1.0.0.1: icmp_seq=36 ttl=56 time=46.5 ms
64 bytes from 1.0.0.1: icmp_seq=37 ttl=56 time=79.7 ms
64 bytes from 1.0.0.1: icmp_seq=38 ttl=56 time=335 ms
64 bytes from 1.0.0.1: icmp_seq=39 ttl=56 time=124 ms
64 bytes from 1.0.0.1: icmp_seq=40 ttl=56 time=54.6 ms
64 bytes from 1.0.0.1: icmp_seq=41 ttl=56 time=34.6 ms
64 bytes from 1.0.0.1: icmp_seq=42 ttl=56 time=67.9 ms
64 bytes from 1.0.0.1: icmp_seq=43 ttl=56 time=68.2 ms
64 bytes from 1.0.0.1: icmp_seq=44 ttl=56 time=40.1 ms
64 bytes from 1.0.0.1: icmp_seq=45 ttl=56 time=26.7 ms
64 bytes from 1.0.0.1: icmp_seq=46 ttl=56 time=28.2 ms
64 bytes from 1.0.0.1: icmp_seq=47 ttl=56 time=336 ms
64 bytes from 1.0.0.1: icmp_seq=48 ttl=56 time=29.6 ms
64 bytes from 1.0.0.1: icmp_seq=49 ttl=56 time=57.3 ms
